Date,Open,High,Low,Close,Adj Close,Volume
2020-07-06,227.685013,248.308868,227.029526,242.131699,242.131699,53066933316
2020-07-13,242.181870,244.310516,231.621170,238.487518,238.487518,44675225989
2020-07-20,238.494873,316.386322,234.852646,309.643616,309.643616,62645824049
2020-07-27,309.657928,411.228302,307.721344,370.671722,370.671722,95693504118
2020-08-03,371.133850,406.303955,367.935516,391.120453,391.120453,82646258586
2020-08-10,391.041504,444.577759,367.923615,433.786621,433.786621,95016597656
2020-08-17,433.973755,442.734985,382.814636,391.384491,391.384491,78437445412
2020-08-24,391.678986,428.663971,374.355377,428.395721,428.395721,72292749517
2020-08-31,428.509003,487.211884,316.774353,353.362274,353.362274,145223038277
2020-09-07,353.450256,388.959808,326.254364,365.570007,365.570007,141321660574
2020-09-14,365.699585,393.901611,356.682739,371.052826,371.052826,107134484147
2020-09-21,371.400146,375.737030,318.545105,357.438507,357.438507,99772858716
2020-09-28,357.925934,369.264404,336.467163,352.579010,352.579010,87329078295
2020-10-05,352.736816,378.267151,334.545563,375.142059,375.142059,89277738125
2020-10-12,374.798737,395.122162,362.597412,378.213684,378.213684,95646232659
2020-10-19,378.469635,420.141663,367.601074,406.217773,406.217773,99915168196
2020-10-26,406.217987,411.279877,375.092407,396.358185,396.358185,92733203628
2020-11-02,396.355988,465.675476,371.312744,453.554779,453.554779,104056836726
2020-11-09,453.574158,475.217255,435.163879,447.559082,447.559082,86559593873
2020-11-16,447.558990,579.372498,445.501617,558.068115,558.068115,117742517844
2020-11-23,558.059509,621.173401,485.497314,575.758057,575.758057,148365425751
2020-11-30,575.757080,635.160583,563.106628,601.908997,601.908997,121611808952
2020-12-07,601.797119,602.917908,532.998413,589.663208,589.663208,81351653045
2020-12-14,589.782471,673.834229,577.118408,638.290833,638.290833,100712316665
2020-12-21,638.315186,711.393555,560.364258,682.642334,682.642334,113119816165
2020-12-28,683.205811,1006.565002,683.205811,975.507690,975.507690,152747909037
2021-01-04,977.058838,1347.926147,912.305359,1262.246704,1262.246704,301834730092
2021-01-11,1261.622925,1290.053589,924.922607,1230.172241,1230.172241,259298253002
2021-01-18,1230.313232,1432.300049,1046.596558,1391.609375,1391.609375,273320283914
2021-01-25,1390.639893,1467.784912,1215.311279,1314.986206,1314.986206,268597730348
2021-02-01,1314.855225,1756.510986,1274.357788,1614.227783,1614.227783,280790741209
2021-02-08,1613.642212,1871.603516,1571.579956,1805.084106,1805.084106,274834235664
2021-02-15,1804.676758,2036.286499,1683.906616,1935.601074,1935.601074,222027748895
2021-02-22,1935.557861,1936.453735,1300.472168,1416.048950,1416.048950,230065320353
2021-03-01,1417.151123,1730.924194,1416.416138,1723.153809,1723.153809,159760752478
2021-03-08,1724.229248,1937.645508,1670.942017,1854.564331,1854.564331,167054641757
2021-03-15,1854.086670,1889.196655,1705.716064,1788.217041,1788.217041,164754388552
2021-03-22,1788.362183,1811.968262,1560.370483,1691.355957,1691.355957,163726181464
2021-03-29,1691.263184,2152.451904,1683.716553,2093.122803,2093.122803,199331046462
2021-04-05,2093.260742,2196.996338,1945.442139,2157.656982,2157.656982,184033037350
2021-04-12,2157.361816,2547.555664,2011.766846,2237.136963,2237.136963,238346115303
2021-04-19,2238.032715,2641.094971,2060.143799,2316.059570,2316.059570,285051627060
2021-04-26,2319.478027,2984.891846,2308.315186,2952.056152,2952.056152,220866851897
2021-05-03,2951.175781,3981.259033,2951.175781,3928.844727,3928.844727,344594950620
2021-05-10,3924.413330,4362.350586,3350.951660,3587.506104,3587.506104,400749195286
2021-05-17,3581.343018,3587.765625,1737.468750,2109.579834,2109.579834,398441727887
2021-05-24,2099.936035,2911.735596,2090.639648,2390.305420,2390.305420,278778310752
2021-05-31,2387.198486,2891.254883,2279.505127,2715.092773,2715.092773,206114234750
2021-06-07,2713.047363,2845.185059,2265.758057,2508.391602,2508.391602,214989180606
2021-06-14,2508.770508,2639.229248,2049.962646,2246.364502,2246.364502,165998018623
2021-06-21,2245.317871,2259.464111,1707.600586,1978.894653,1978.894653,181271282626
2021-06-28,1981.386475,2384.286865,1963.615479,2321.724121,2321.724121,173236166989
2021-07-05,2321.922852,2403.773438,2051.066650,2139.664795,2139.664795,141898628328
2021-07-12,2140.506836,2167.710205,1853.590332,1895.552124,1895.552124,109461389917
2021-07-19,1893.053589,2197.649414,1722.050781,2191.373779,2191.373779,117099495933
2021-07-26,2191.309814,2695.429443,2154.731201,2561.852051,2561.852051,148899026374
2021-08-02,2557.774658,3184.604004,2449.353516,3013.732666,3013.732666,188999816781
2021-08-09,3012.885742,3329.281006,2900.926025,3310.504150,3310.504150,177617150981
2021-08-16,3309.422119,3333.994873,2959.028320,3242.115479,3242.115479,144657511395
2021-08-23,3241.357422,3373.384277,3060.228760,3227.002686,3227.002686,122446358200
2021-08-30,3227.192627,4022.469238,3151.444580,3952.133545,3952.133545,166431911904
2021-09-06,3951.520752,3968.426514,3062.222412,3410.134521,3410.134521,171456032652
2021-09-13,3407.471924,3673.310791,3121.514160,3329.447998,3329.447998,127464621869
2021-09-20,3329.670654,3343.325439,2676.407471,3062.265381,3062.265381,165736116791
2021-09-27,3065.837891,3484.605713,2786.988281,3418.358643,3418.358643,126510518147
2021-10-04,3418.776367,3667.957520,3283.448730,3425.852783,3425.852783,120426108412
2021-10-11,3419.726807,3962.453125,3385.761719,3847.104492,3847.104492,125796571016
2021-10-18,3847.729980,4366.088379,3686.750488,4087.903076,4087.903076,131136502497
2021-10-25,4084.425781,4455.735352,3905.706055,4288.074219,4288.074219,140412419359
2021-11-01,4288.217285,4664.910156,4160.966797,4620.554688,4620.554688,121471900421
2021-11-08,4619.649414,4859.502930,4485.093262,4626.358887,4626.358887,125752889256
2021-11-15,4627.090820,4891.704590,3959.227783,4269.732910,4269.732910,137429429244
2021-11-22,4266.509277,4550.842285,3933.506592,4294.453613,4294.453613,141179727084
2021-11-29,4296.946777,4780.732422,3525.494141,4198.322754,4198.322754,186741981087
2021-12-06,4199.000000,4482.313965,3846.054443,4134.453125,4134.453125,152799880859
2021-12-13,4136.359863,4145.955078,3664.719971,3922.592529,3922.592529,152915544014
2021-12-20,3923.695801,4149.026855,3759.403320,4067.328125,4067.328125,104768396134
2021-12-27,4064.746338,4126.001465,3595.204834,3829.564941,3829.564941,91186714758
2022-01-03,3829.535645,3876.785156,3020.880859,3157.751465,3157.751465,121333429463
2022-01-10,3157.570557,3401.219971,2947.683594,3350.921875,3350.921875,99393420484
2022-01-17,3350.947266,3355.819336,2330.247314,2535.039063,2535.039063,119849284037
2022-01-24,2535.891113,2705.784180,2172.301270,2603.466553,2603.466553,117096524892
2022-01-31,2603.263428,2697.735352,2489.072266,2688.278809,2688.278809,13778234614
